2025-09-24 01:00:01 - logger - INFO - ID VjJmBvMAAAAJ 首页请求失败，跳过。
2025-09-24 02:10:52 - logger - INFO - 请求失败: https://scholar.google.com/scholar
2025-09-24 20:35:09 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 20:37:08 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 20:37:57 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 20:38:45 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 20:39:22 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 20:40:24 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:01:29 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:02:13 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:07:16 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:09:44 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:41:17 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:44:35 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:46:32 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:47:47 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:52:20 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:54:12 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:54:17 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: False
2025-09-24 23:54:56 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-24 23:55:00 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: False
2025-09-25 00:01:11 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:03:38 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:07:30 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:07:30 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 00:07:30 - logger - INFO - create table spider.scholar_author is_success: False, is_has_table: False
2025-09-25 00:09:33 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:09:48 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 00:11:41 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:11:44 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 00:12:06 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:12:11 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 00:14:00 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:14:03 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 00:14:03 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 00:28:53 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:28:53 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
2025-09-25 00:28:53 - logger - INFO - create table spider.scholar_author is_success: True, is_has_table: True
2025-09-25 00:30:32 - logger - INFO - table:article_arxiv_org max_id: 1, min_id: 1405
2025-09-25 00:30:32 - logger - INFO - create table spider.article_search_by_google_scholar is_success: True, is_has_table: True
